wl	G
544.745	13396.49556
545.175	13020.44889
545.605	12613.71667
546.034	12224.14667
546.464	11823.13444
546.893	11444.74778
547.323	11110.57111
547.752	10762.61111
548.181	10412.31111
548.611	10117.66444
549.04	9789.21
549.469	9500.803333
549.898	9210.837778
550.327	8941.936667
550.756	8663.413333
551.185	8364.344444
551.614	8088.941111
552.043	7846.045556
552.472	7604.97
552.9	7361.553333
553.329	7144.403333
553.758	6944.416667
554.186	6727.786667
554.615	6526.24
555.043	6347.318889
555.472	6165.537778
555.9	5990.777778
556.328	5823.038889
556.757	5675.065556
557.185	5517.99
557.613	5353.112222
558.041	5224.123333
558.469	5094.874444
558.897	4965.365556
559.325	4849.378889
559.753	4725.85
560.181	4609.863333
560.609	4496.216667
561.037	4390.372222
561.464	4300.652222
561.892	4185.965556
562.319	4094.684444
562.747	4003.923333
563.175	3910.822222
563.602	3823.182222
564.029	3737.883333
564.457	3661.686667
564.884	3583.148889
565.311	3494.988889
565.738	3428.153333
566.165	3335.572222
566.592	3245.071111
567.019	3169.913333
567.446	3092.675556
567.873	3025.32
568.3	2937.94
568.727	2862.523333
569.154	2779.304444
569.58	2698.166667
570.007	2638.092222
570.434	2568.916667
570.86	2494.28
571.287	2435.506667
571.713	2367.371111
572.139	2313.798889
572.566	2259.966667
572.992	2224.597778
573.418	2177.526667
573.844	2116.413333
574.27	2083.385556
574.696	2037.875556
575.122	1987.424444
575.548	1934.892222
575.974	1887.821111
576.4	1837.368889
576.826	1783.536667
577.252	1743.747778
577.677	1718.002222
578.103	1679.774444
578.528	1644.145556
578.954	1607.736667
579.379	1583.551111
579.805	1565.346667
580.23	1548.963333
580.655	1523.217778
581.081	1494.091111
581.506	1469.384444
581.931	1444.677778
582.356	1426.473333
582.781	1416.851111
583.206	1391.885556
583.631	1361.458889
584.056	1333.892222
584.481	1321.668889
584.905	1310.486667
585.33	1287.602222
585.755	1269.918889
586.179	1254.575556
586.604	1229.61
587.028	1218.427778
587.453	1207.505556
587.877	1179.418889
588.302	1171.877778
588.726	1165.635556
