wl	B
781.444	357.0144444
781.841	358.0544444
782.238	357.0133333
782.634	359.6133333
783.031	356.4922222
783.428	349.4711111
783.824	356.7522222
784.221	364.5544444
784.617	365.3344444
785.014	362.2144444
785.41	363.2544444
785.806	364.2955556
786.202	356.7544444
786.598	362.7355556
786.994	362.7355556
787.39	362.7355556
787.786	361.6944444
788.182	356.2333333
788.578	356.7533333
788.974	357.2733333
789.369	365.5944444
789.765	380.1577778
790.161	377.5577778
790.556	379.3777778
790.952	370.7955556
791.347	373.9166667
791.742	378.0777778
792.137	376.2577778
792.533	386.14
792.928	387.7011111
793.323	383.02
793.718	381.9788889
794.113	382.4988889
794.508	383.28
794.902	380.4188889
795.297	391.0811111
795.692	390.04
796.086	379.3777778
796.481	374.9566667
796.875	377.8166667
797.27	381.4577778
797.664	383.0177778
798.058	382.7566667
798.453	380.1566667
798.847	369.7544444
799.241	368.4544444
799.635	374.4355556
800.029	375.9955556
800.423	374.1755556
800.817	372.0955556
801.21	371.5755556
801.604	375.2166667
801.998	377.0366667
802.391	378.5966667
