wl	R
348.186	369.0555556
348.637	368.0155556
349.088	370.6166667
349.539	374.7777778
349.99	377.6388889
350.441	378.4188889
350.892	373.2177778
351.343	369.3166667
351.793	359.9544444
352.244	354.7533333
352.695	352.9333333
353.146	343.5711111
353.596	343.8311111
354.047	345.9111111
354.497	349.5522222
354.948	342.7911111
355.398	344.8711111
355.848	343.3111111
356.299	346.9522222
356.749	347.7322222
357.199	358.3944444
357.65	356.8344444
358.1	344.0922222
358.55	343.8322222
359	351.1133333
359.45	353.7144444
359.9	357.0944444
360.35	351.6333333
360.8	350.5933333
361.25	350.0733333
361.699	351.3733333
362.149	354.4933333
362.599	348.7711111
363.049	353.9733333
363.498	356.3133333
363.948	351.8922222
364.397	356.5733333
364.847	357.3533333
365.296	357.3533333
365.746	350.0711111
366.195	352.1522222
366.644	351.3722222
367.094	348.5111111
367.543	348.5111111
367.992	351.1122222
368.441	357.3533333
368.89	365.1555556
369.339	366.9755556
369.788	372.1777778
370.237	370.8777778
370.686	374.5188889
371.135	371.1377778
371.584	366.4566667
372.033	367.4966667
372.482	369.5777778
372.93	366.7166667
373.379	364.8966667
373.827	365.6766667
374.276	368.2766667
374.725	363.5955556
375.173	371.6577778
375.621	375.2988889
376.07	380.24
376.518	375.2988889
376.966	363.5966667
377.415	356.3155556
377.863	355.5355556
378.311	356.3155556
378.759	359.9566667
379.207	351.3744444
379.655	354.4955556
380.103	354.7555556
380.551	358.1355556
380.999	370.8777778
381.447	376.3388889
381.895	377.8988889
382.342	380.24
382.79	377.8988889
383.238	380.76
383.685	377.8988889
384.133	371.9177778
384.58	362.2955556
385.028	356.5744444
385.475	349.2922222
385.923	345.3911111
386.37	342.27
386.817	338.3688889
387.265	333.9477778
387.712	335.5077778
388.159	337.5877778
388.606	346.43
389.053	343.3088889
389.5	355.5322222
389.947	358.3933333
390.394	361.5144444
390.841	371.1366667
391.288	373.2166667
391.735	373.4766667
392.181	375.5577778
392.628	370.8766667
393.075	386.22
393.521	382.0588889
393.968	384.1388889
394.414	381.5377778
394.861	373.4766667
395.307	377.3777778
395.754	369.5766667
396.2	366.9755556
396.646	366.7155556
397.093	355.7933333
397.539	343.83
397.985	338.8888889
398.431	343.31
398.877	342.79
399.323	337.3288889
399.769	345.9111111
400.215	352.1533333
400.661	354.2344444
401.107	359.1755556
401.552	371.3988889
401.998	378.9411111
402.444	371.14
402.889	369.5788889
403.335	378.9411111
403.781	371.1388889
404.226	360.4755556
404.672	363.8555556
405.117	360.9955556
405.562	353.7133333
406.008	345.1311111
406.453	349.2911111
406.898	355.5333333
407.343	352.4122222
407.789	352.4122222
408.234	356.3133333
408.679	353.1933333
409.124	346.4311111
409.569	358.3944444
410.014	367.2366667
410.458	366.4566667
410.903	366.9766667
411.348	366.7166667
411.793	364.3755556
412.237	369.8366667
412.682	377.3777778
413.127	380.7588889
413.571	377.6377778
414.016	371.6555556
414.46	369.8355556
414.904	370.0955556
415.349	367.2355556
415.793	372.9577778
