wl	W
383.685	445.5622222
384.133	451.8044444
384.58	447.1233333
385.028	445.8233333
385.475	459.6066667
385.923	463.2477778
386.37	464.8077778
386.817	460.9077778
387.265	464.2888889
387.712	467.1488889
388.159	455.9655556
388.606	462.9866667
389.053	463.7666667
389.5	457.0055556
389.947	454.4044444
390.394	443.2222222
390.841	437.76
391.288	430.4788889
391.735	432.3
392.181	440.8822222
392.628	434.6411111
393.075	438.5422222
393.521	433.3411111
393.968	432.0411111
394.414	438.2822222
394.861	445.0444444
395.307	452.5855556
395.754	449.4644444
396.2	448.1644444
396.646	446.0833333
397.093	446.3433333
397.539	448.1633333
397.985	444.0022222
398.431	440.3622222
398.877	443.4822222
399.323	444.7833333
399.769	449.7244444
400.215	451.8044444
400.661	457.7866667
401.107	459.3466667
401.552	466.1088889
401.998	469.75
402.444	479.1111111
402.889	478.0711111
403.335	480.9311111
403.781	479.6311111
404.226	479.3711111
404.672	474.69
405.117	477.8111111
405.562	475.73
406.008	473.91
406.453	475.2111111
406.898	478.5922222
407.343	487.4344444
407.789	492.6355556
408.234	490.2955556
408.679	491.0755556
409.124	497.5766667
409.569	501.9977778
410.014	508.2388889
410.458	509.2788889
410.903	509.0188889
411.348	498.0966667
411.793	505.6377778
412.237	515.52
412.682	527.4822222
413.127	531.9033333
413.571	543.0855556
414.016	560.51
414.46	574.8133333
414.904	589.6366667
415.349	612.2611111
415.793	623.9644444
416.237	638.2677778
416.682	657.2522222
417.126	676.2366667
417.57	687.94
418.014	705.1033333
418.458	721.4866667
418.902	751.9133333
419.346	770.1177778
419.79	795.3433333
420.233	820.0488889
420.677	832.5322222
421.121	848.6555556
421.565	880.6422222
422.008	897.0255556
422.452	919.9111111
422.895	938.6355556
423.339	970.6233333
423.782	1004.171111
424.226	1036.417778
424.669	1078.026667
425.113	1114.435556
425.556	1155.525556
425.999	1195.055556
426.442	1247.067778
426.885	1294.918889
427.328	1342.77
427.771	1387.24
428.214	1444.453333
428.657	1499.065556
429.1	1570.841111
429.543	1641.056667
429.986	1723.235556
430.429	1797.612222
430.871	1884.732222
431.314	1979.913333
431.757	2093.558889
432.199	2197.063333
432.642	2320.592222
433.084	2448.542222
433.527	2580.392222
433.969	2726.025556
434.411	2888.563333
434.854	3039.657778
435.296	3214.937778
435.738	3383.456667
436.18	3571.738889
436.622	3783.427778
437.064	3988.354444
437.506	4218.507778
437.948	4450.48
438.39	4691.294444
438.832	4967.737778
439.274	5236.64
439.715	5554.433333
440.157	5876.387778
440.599	6215.764444
441.04	6595.971111
441.482	6974.877778
441.924	7431.282222
442.365	7885.606667
442.806	8358.134444
443.248	8907.12
443.689	9469.107778
444.13	10067.50444
444.572	10691.64778
445.013	11353.76
445.454	12071.78444
445.895	12794.49
446.336	13605.87556
446.777	14463.03222
447.218	15327.21
447.659	16253.54222
448.1	17237.08778
448.54	18274.20556
448.981	19404.42444
449.422	20567.41
449.863	21826.87889
450.303	23125.35556
450.744	24453.74
451.184	25858.32111
451.625	27303.21222
452.065	28727.55778
452.505	30198.97444
452.946	31707.31889
453.386	33236.99
453.826	34732.85222
454.266	36168.64111
454.707	37643.43778
455.147	39060.24222
455.587	40356.63889
456.027	41634.57111
456.467	42811.34
456.906	43865.10111
457.346	44810.15667
457.786	45600.21778
458.226	46324.48333
458.666	46830.03889
459.105	47185.28
459.545	47528.81889
459.984	47745.96889
460.424	47753.25111
460.863	47654.94889
461.303	47493.45222
461.742	47230.53111
462.181	46856.30556
462.621	46449.57333
463.06	46042.58
463.499	45508.41778
463.938	44954.23111
464.377	44510.30889
464.816	44012.03444
465.255	43515.32111
465.694	43058.39667
466.133	42676.89
466.572	42356.75667
467.01	41983.31111
467.449	41674.1
467.888	41417.42111
468.326	41213.01444
468.765	41066.34111
469.203	40947.23333
469.642	40931.89
470.08	40918.88667
470.519	40856.21222
470.957	40927.46889
471.395	41007.82667
471.834	41083.50444
472.272	41094.16667
472.71	41091.56667
473.148	41073.10222
473.586	40936.57111
474.024	40816.42333
474.462	40735.80444
474.9	40582.10889
475.338	40374.06222
475.775	40150.67111
476.213	39972.01111
